ST_RT_NO,CTY_CODE,JURIS,SEG_NO,LANE_CNT,STREET_NAME,TRAF_RT_NO_PREFIX,SIDE_IND,ROUTE_DIR,SPEED_LIMIT,STREET_NAME_NO_SUF,STREET_SUF,RTESIGNING,OBJECTID,GEOMETRYLEN
0579,02,1,0005,2,CROSSTOWN BL,I,2,S,55,CROSSTOWN ,BL,1,2819092,0
0885,02,1,0340,2,BL OF THE ALLIES,PA,1,N,40,BL OF THE ALLIES,,2,2819226,0
0885,02,1,0341,2,BL OF THE ALLIES,PA,2,S,40,BL OF THE ALLIES,,2,2819227,0
0885,02,1,0350,2,BL OF THE ALLIES,PA,1,N,40,BL OF THE ALLIES,,2,2819228,0
0885,02,1,0351,2,BL OF THE ALLIES,PA,2,S,40,BL OF THE ALLIES,,2,2819229,0
2128,02,1,0010,2,TENTH ST BY-PASS,,1,N,35,TENTH ST BY-PASS,,2,2819899,0
2128,02,1,0011,2,TENTH ST BY-PASS,,2,S,35,TENTH ST BY-PASS,,2,2819900,0
2144,02,1,0010,2,CENTRE AV,,1,E,25,CENTRE ,AV,2,2819901,0
2144,02,1,0011,2,CENTRE AV,,2,W,25,CENTRE ,AV,2,2819902,0
2208,02,1,0010,2,BL OF THE ALLIES RD,,1,E,25,BL OF THE ALLIES ,RD,2,2819908,0
2208,02,1,0011,1,BL OF THE ALLIES RD,,2,W,25,BL OF THE ALLIES ,RD,2,2819909,0
2208,02,1,0020,2,BL OF THE ALLIES RD,,1,E,35,BL OF THE ALLIES ,RD,2,2819910,0
3069,02,1,0120,2,LIBERTY BR,,1,N,40,LIBERTY ,BR,2,2820081,0
3069,02,1,0121,2,LIBERTY BR,,2,S,40,LIBERTY ,BR,2,2820082,0
6579,02,1,0010,2,I-579 HOV LN,I,1,N,55,I-579 HOV ,LN,1,2820540,0
8002,02,1,0250,1,RAMP H RD,,1,E,35,RAMP H ,RD,2,2820542,0
8002,02,1,0260,2,RAMP G RD,,1,N,35,RAMP G ,RD,2,2820543,0
8002,02,1,0270,1,RAMP J RD,,1,S,35,RAMP J ,RD,2,2820544,0
8002,02,1,0280,1,RAMP K RD,,1,N,35,RAMP K ,RD,2,2820545,0
8002,02,1,0290,1,RAMP L RD,,1,N,35,RAMP L ,RD,2,2820546,0
8002,02,1,0300,2,RAMP M RD,,1,S,30,RAMP M ,RD,2,2820547,0
8039,02,1,0010,1,FT PITT BR INT/RP B RD,,1,N,20,FT PITT BR INT/RP B ,RD,2,2820699,0
8039,02,1,0250,1,FT PITT BR INT/RP A RD,,1,S,20,FT PITT BR INT/RP A ,RD,2,2820700,0
8039,02,1,0500,2,FT PITT BR INT/RP N RD,,1,N,20,FT PITT BR INT/RP N ,RD,2,2820701,0
8039,02,1,0510,2,FT PITT BR INT/RP R RD,,1,E,20,FT PITT BR INT/RP R ,RD,2,2820702,0
8039,02,1,0520,2,FT PITT BR INT/RP Q RD,,1,S,20,FT PITT BR INT/RP Q ,RD,2,2820703,0
8041,02,1,0250,2,RAMP A RD,,1,E,20,RAMP A ,RD,2,2820707,0
8041,02,1,0260,1,RAMP J RD,,1,E,20,RAMP J ,RD,2,2820708,0
8041,02,1,0270,1,RAMP K RD,,1,E,20,RAMP K ,RD,2,2820709,0
